#{"t_start": 1750263531.055104, "env_id": "None"}
r,l,t
25.605906,45,7489.600466
25.069722,45,7511.385376
27.736117,45,7537.525287
25.981763,45,7606.869014
22.205498,45,7628.994714
27.182111,45,7649.263147
23.943384,45,7669.514681
25.889208,45,7691.352952
26.573553,45,7711.983398
27.399851,45,7741.983662
27.96324,45,7761.660128
27.350903,45,7781.127147
23.927718,45,7805.674802
29.478988,45,7828.459244
27.181078,45,7851.922434
24.712061,45,7874.483986
27.746977,45,7895.378681
28.040403,45,7919.631466
25.36926,45,7946.541997
28.161078,45,7969.212278
27.537539,45,7990.608484
28.479359,45,8012.420985
28.578017,45,8040.894619
26.651383,45,8156.931984
27.465499,45,8181.882478
27.979575,45,8207.026413
26.517023,45,8228.751322
24.555355,45,8254.208404
27.055855,45,8276.540091
26.887396,45,8299.653111
26.526753,45,8328.386002
25.862612,45,8361.697991
28.946389,45,8384.831556
28.687952,45,8431.158996
26.651009,45,8454.177475
26.723734,45,8479.090038
27.27115,45,8501.141985
27.344927,45,8522.228148
27.904831,45,8566.377277
29.932147,45,8587.503982
28.783094,45,8608.828044
27.801144,45,8636.506466
23.759123,45,8656.171872
27.229514,45,8686.318759
26.264659,45,8708.231145
29.026763,45,8729.562357
26.09797,45,8748.723232
28.189365,45,8773.801955
27.942847,45,8794.558086
27.850453,45,8818.558502
28.992542,45,8855.205036
29.20684,45,8880.367384
27.563812,45,8903.547111
23.300851,45,8931.274685
29.829466,45,8966.114519
27.808891,45,8992.261813
22.976912,45,9018.130941
23.787765,45,9045.898279
29.664857,45,9071.548769
28.66761,45,9093.161552
26.779779,45,9114.530414
20.376818,45,9141.446271
27.913017,45,9172.939188
24.867581,45,9194.747957
28.003986,45,9220.379944
25.819857,45,9244.389381
29.843686,45,9275.503226
29.998558,45,9299.909977
27.779372,45,9322.074264
24.471391,45,9357.588781
27.509868,45,9385.393158
29.12337,45,9415.624625
30.615313,45,9447.155477
24.546063,45,9485.445409
26.224488,45,9526.123353
28.151987,45,9558.285863
22.678268,45,9581.505419
27.839575,45,9605.889156
29.15984,45,9628.938022
26.822542,45,9652.425764
28.257427,45,9678.711396
27.982265,45,9702.275983
28.156475,45,9726.914979
29.69192,45,9756.435135
28.141316,45,9796.497773
29.953998,45,9824.379523
27.381239,45,9861.734349
24.910722,45,9886.531107
26.099318,45,9914.419367
26.086017,45,9938.363021
26.27028,45,9963.219115
26.309046,45,9994.674418
26.818525,45,10026.072187
26.985578,45,10050.875165
28.38232,45,10075.599849
28.669984,45,10099.239775
26.99672,45,10125.832814
27.00542,45,10148.590285
